"name","position","country","club"
"Jung Seung-hyun","DEF","South Korea","Sagan Tosu"
"Yun Yong-sun","DEF","South Korea","Seongnam FC"
"Oh Ban-suk","DEF","South Korea","Jeju United"
"Kim Min-woo","DEF","South Korea","Sangju Sangmu"
"Park Joo-ho","DEF","South Korea","Ulsan Hyundai"
"Hong Chul","DEF","South Korea","Sangju Sangmu"
"Go Yo-han","DEF","South Korea","FC Seoul"
"Lee Yong","DEF","South Korea","Jeonbuk Hyundai Motors"
"Ki Sung-yueng","MID","South Korea","Swansea City"
"Jung Woo-young","MID","South Korea","Vissel Kobe"
"Ju Se-jong","MID","South Korea","Asan Mugunghwa FC"
"Koo Ja-cheol","MID","South Korea","FC Augsburg"
"Lee Jae-sung","MID","South Korea","Jeonbuk Hyundai Motors"
"Lee Seung-woo","MID","South Korea","Hellas Verona"
"Moon Seon-min","MID","South Korea","Incheon United"
"Kim Shin-wook","ATT","South Korea","Jeonbuk Hyundai Motors"
"Son Heung-min","ATT","South Korea","Tottenham Hotspur"
"Hwang Hee-chan","ATT","South Korea","FC Red Bull Salzburg"
"Robin Olsen","GK","Sweden","Copenhagen"
"Karl-Johan Johnsson","GK","Sweden","Guingamp"
"Kristoffer Nordfeldt","GK","Sweden","Swansea"
"Mikael Lustig","DEF","Sweden","Celtic"
"Victor Lindelof","DEF","Sweden","Manchester United"
"Andreas Granqvist","DEF","Sweden","Krasnador"
"Martin Olsson","DEF","Sweden","Swansea"
"Ludwig Augustinsson","DEF","Sweden","Werder Bremen"
"Filip Helander","DEF","Sweden","Bologna"
"Emil Krafth","DEF","Sweden","Bologna"
"Pontus Jansson","DEF","Sweden","Leeds United"
"Sebastian Larsson","MID","Sweden","Hull"
"Albin Ekdal","MID","Sweden","Hamburg"
"Emil Forsberg","MID","Sweden","RB Leipzig"
"Gustav Svensson","MID","Sweden","Seattle Sounders"
"Oscar Hiljemark","MID","Sweden","Genoa"
"Viktor Claesson","MID","Sweden","Krasnador"
"Marcus Rohden","MID","Sweden","Crotone"
"Jimmy Durmaz","MID","Sweden","Toulouse"
"Marcus Berg","ATT","Sweden","Al Ain"
"John Guidetti","ATT","Sweden","Alaves"
"Ola Toivonen","ATT","Sweden","Toulouse"
"Isaac Kiese Thelin","ATT","Sweden","Waasland-Beveren"
"Koen Casteels","GK","Belgium","Wolfsburg"
"Thibaut Courtois","GK","Belgium","Chelsea"
"Simon Mignolet","GK","Belgium","Liverpool"
"Toby Alderweireld","DEF","Belgium","Tottenham Hotspur"
"Dedryck Boyata","DEF","Belgium","Celtic"
"Vincent Kompany","DEF","Belgium","Manchester City"
"Thomas Meunier","DEF","Belgium","Paris St-Germain"
"Laurent Ciman","DEF","Belgium",""
"Thomas Vermaelen","DEF","Belgium","Barcelona"
"Jan Vertonghen","DEF","Belgium","Tottenham Hotspur"
"Yannick Carrasco","MID","Belgium","Dalian Yifang"
"Kevin de Bruyne","MID","Belgium","Manchester City"
"Mousa Dembele","MID","Belgium","Tottenham Hotspur"
"Leander Dendoncker","MID","Belgium","Anderlecht"
"Marouane Fellaini","MID","Belgium","Manchester United"
"Eden Hazard","MID","Belgium","Chelsea"
"Thorgan Hazard","MID","Belgium","Borussia Monchengladbach"
"Adnan Januzaj","MID","Belgium","Real Sociedad"
"Dries Mertens","MID","Belgium","Napoli"
"Youri Tielemans","MID","Belgium","Monaco"
"Axel Witsel","MID","Belgium","Tianjin Quanjian"
"Michy Batshuayi","ATT","Belgium","Chelsea"
"Nacer Chadli","ATT","Belgium","West Brom"
"Romelu Lukaku","ATT","Belgium","Manchester United"
"Jack Butland","GK","England","Stoke City"
"Jordan Pickford","GK","England","Everton"
"Nick Pope","GK","England","Burnley"
"Trent Alexander-Arnold","DEF","England","Liverpool"
"Gary Cahill","DEF","England","Chelsea"
"Fabian Delph","DEF","England","Manchester City"
"Phil Jones","DEF","England","Manchester United"
"Harry Maguire","DEF","England","Leicester City"
"Danny Rose","DEF","England","Tottenham Hotspur"
"John Stones","DEF","England","Manchester City"
"Kieran Trippier","DEF","England","Tottenham Hotspur"
"Kyle Walker","DEF","England","Manchester City"
"Ashley Young","DEF","England","Manchester United"
"Dele Alli","MID","England","Tottenham Hotspur"
"Eric Dier","MID","England","Tottenham Hotspur"
"Jordan Henderson","MID","England","Liverpool"
"Jesse Lingard","MID","England","Manchester United"
"Ruben Loftus-Cheek","MID","England","Chelsea"
"Harry Kane","ATT","England","Tottenham Hotspur"
"Marcus Rashford","ATT","England","Manchester United"
"Raheem Sterling","ATT","England","Manchester City"
"Jamie Vardy","ATT","England","Leicester City"
"Danny Welbeck","ATT","England","Manchester United"
"Jose Calderon","GK","Panama","Chorrillo FC"
"Jaime Penedo","GK","Panama","Dinamo Bucharest"
"Alex Rodriguez","GK","Panama","San Francisco FC"
"Felipe Baloy","DEF","Panama","CSD Municipal"
"Harold Cummings","DEF","Panama","San Jose Earthquakes"
"Eric Davis","DEF","Panama","DAC Dunajska Streda"
"Fidel Escobar","DEF","Panama","New York Red Bulls"
"Adolfo Machado","DEF","Panama","Houston Dynamo"
"Michael Murillo","DEF","Panama","New York Red Bulls"
"Luis Ovalle","DEF","Panama","CD Olimpia"
"Roman Torres","DEF","Panama","Seattle Sounders"
"Edgar Barcenas","MID","Panama","Cafetaleros de Tapachula"
"Armando Cooper","MID","Panama","Club Universidad de Chile"
"Anibal Godoy","MID","Panama","San Jose Earthquakes"
"Gabriel Gómez","MID","Panama","Bucaramanga"
"Valentin Pimentel","MID","Panama","Plaza Amador"
"Alberto Quintero","MID","Panama","Universitario de Lima"
"Jose Luis Rodriguez","MID","Panama","KAA Gent"
"Abdiel Arroyo","ATT","Panama","LD Alajuelense"
"Ismael Diaz","ATT","Panama","Deportivo La Coruna"
"Blas Perez","ATT","Panama","CSD Municipal"
"Luis Tejada","ATT","Panama","Sports Boys"
"Gabriel Torres","ATT","Panama","CD Huachipato"
"Farouk Ben Mustapha","GK","Tunisia","Al Shabab"
"Saudi Arabia)","GK","Tunisia","Saudi Arabia"
"Moez Hassen","GK","Tunisia","Chateauroux"
"France)","GK","Tunisia","France"
"Aymen Mathlouthi","GK","Tunisia","Al Baten"
"Rami Bedoui","DEF","Tunisia","Etoile du Sahel"
"Yohan Benalouane","DEF","Tunisia","Leicester City"
"Syam Ben Youssef","DEF","Tunisia","Kasimpasa"
"Dylan Bronn","DEF","Tunisia","Gent"
"Oussama Haddadi","DEF","Tunisia","Dijon"
"Ali Maaloul","DEF","Tunisia","Al Ahly"
"Yassine Meriah","DEF","Tunisia","CS Sfaxien"
"Hamdi Nagguez","DEF","Tunisia","Zamalek"
"Anice Badri","MID","Tunisia","Esperance"
"Mohamed Amine Ben Amor","MID","Tunisia","Al Ahli Riyadh"
"Ghaylene Chaalali","MID","Tunisia","Esperance"
"Ahmed Khalil","MID","Tunisia","Club Africain"
"Saifeddine Khaoui","MID","Tunisia","Troyes"
"Ferjani Sassi","MID","Tunisia","Al Nasr"
"Ellyes Skhiri","MID","Tunisia","Montpellie"
"Naim Sliti","MID","Tunisia","Dijon"
"Bassem Srarfi","MID","Tunisia","Nice"
"Fakhreddine Ben Youssef","ATT","Tunisia","Al Ittifaq"
"Saber Khalifa","ATT","Tunisia","Club Africain"
"Wahbi Khazri","ATT","Tunisia","Rennes"
"David Ospina","GK","Colombia","Arsenal"
"Camilo Vargas","GK","Colombia","Deportivo Cali"
"José Fernando Cuadrado","GK","Colombia","Once Caldas"
"Cristian Zapata","DEF","Colombia","Milan"
"Dávinson Sánchez","DEF","Colombia","Tottenham"
"Santiago Arias","DEF","Colombia","PSV Eindhoven"
"Óscar Murillo","DEF","Colombia","Pachuca"
"Frank Fabra","DEF","Colombia","Boca Juniors"
"Johan Mojica","DEF","Colombia","Girona"
"Yerry Mina","DEF","Colombia","Barcelona"
"Wílmar Barrios","MID","Colombia","Boca Juniors"
"Carlos Sánchez","MID","Colombia","Espanyol"
"Jefferson Lerma","MID","Colombia","Levante"
"José Izquierdo","MID","Colombia","Brighton Hove & Albion"
"James Rodríguez","MID","Colombia","Bayern Múnich"
"Abel Aguilar","MID","Colombia","Deportivo Cali"
"Mateus Uribe","MID","Colombia","América"
"Juan Fernando Quintero","MID","Colombia","River Plate"
"Juan Guillermo Cuadrado","MID","Colombia","Juventus"
"Radamel Falcao","ATT","Colombia","Mónaco"
"Miguel Borja","ATT","Colombia","Palmeiras"
"Carlos Bacca","ATT","Colombia","Villarreal"
"Luis Fernando Muriel","ATT","Colombia","Sevilla"
"Eiji Kawashima","GK","Japan","Metz"
"Masaaki Higashiguchi","GK","Japan","Gamba Osaka"
"Kosuke Nakamura","GK","Japan","Kashiwa Reysol"
"Yuto Nagatomo","DEF","Japan","Galatasaray"
"Tomoaki Makino","DEF","Japan",""
"Wataru Endo","DEF","Japan","Urawa Reds"
"Maya Yoshida","DEF","Japan","Southampton"
"Hiroki Sakai","DEF","Japan","Marseille"
"Gotoku Sakai","DEF","Japan","Hamburg"
"Gen Shoji","DEF","Japan","Kashima Antlers"
"Naomichi Ueda","DEF","Japan","Kashima Antlers"
"Makoto Hasebe","MID","Japan","Eintracht Frankfurt"
"Keisuke Honda","MID","Japan","Pachuca"
"Takashi Inui","MID","Japan","Eibar"
"Shinji Kagawa","MID","Japan","Dortmund"
"Hotaru Yamaguchi","MID","Japan","Cerezo Osaka"
"Genki Haraguchi","MID","Japan","Fortuna Düsseldorf"
"Takashi Usami","MID","Japan","Fortuna Dusseldorf"
"Gaku Shibasaki","MID","Japan","Getafe"
"Ryota Oshima","MID","Japan","Kawasaki Frontale"
"Shinji Okazaki","ATT","Japan","Leicester"
"Yuya Osako","ATT","Japan","Werder Bremen"
"Yoshinori Muto","ATT","Japan","Mainz"
"Bartosz Białkowski","GK","Poland","Ipswich Town"
"Łukasz Fabiański","GK","Poland","Swansea City"
"Wojciech Szczęsny","GK","Poland","Juventus"
"Jan Bednarek","DEF","Poland","Southampton"
"Bartosz Bereszyński","DEF","Poland","Sampdoria"
"Thiago Cionek","DEF","Poland","SPAL"
"Kamil Glik","DEF","Poland","AS Monaco"
"Łukasz Piszczek","DEF","Poland","Borussia Dortmund"
"Artur Jędrzejczyk","DEF","Poland","Legia Warsaw"
"Michał Pazdan","DEF","Poland","Legia Warsaw"
"Jakub Błaszczykowski","MID","Poland","VfL Wolfsburg"
"Jacek Góralski","MID","Poland","Ludogorets Razgrad"
"Kamil Grosicki","MID","Poland","Hull City"
"Grzegorz Krychowiak","MID","Poland","West Bromwich Albion"
"Rafał Kurzawa","MID","Poland","Górnik Zabrze"
"Karol Linetty","MID","Poland","Sampdoria"
"Sławomir Peszko","MID","Poland","Lechia Gdańsk"
"Maciej Rybus","MID","Poland","Lokomotiv Moscow"
"Piotr Zieliński","MID","Poland","Napoli"
"Dawid Kownacki","ATT","Poland","Sampdoria"
"Robert Lewandowski","ATT","Poland","Bayern Munich"
"Arkadiusz Milik","ATT","Poland","Napoli"
"Łukasz Teodorczyk","ATT","Poland","Anderlecht"
"Khadim Ndiaye","GK","Senegal","Horoya AC"
"Abdoulaye Diallo","GK","Senegal","Rennes"
"Alfred Gomis","GK","Senegal","Torino"
"Kara Mbodji","DEF","Senegal","Anderlecht"
"Kalidou Koulibaly","DEF","Senegal","Napoli"
"Moussa Wague","DEF","Senegal","Eupen"
"Saliou Ciss","DEF","Senegal","Angers"
"Youssouf Sabaly","DEF","Senegal","Bordeaux"
"Lamine Gassama","DEF","Senegal","Alanyaspor"
"Armand Traore","DEF","Senegal","Nottingham Forest"
"Salif Sane","DEF","Senegal","Hannover 96"
"Pape Alioune Ndiaye","MID","Senegal","Stoke"
"Idrissa Gueye","MID","Senegal","Everton"
"Cheikhou Kouyate","MID","Senegal","West Ham"
"Cheikh N'Doye","MID","Senegal","Birmingham"
"Sadio Mane","ATT","Senegal","Liverpool"
"Diao Balde Keita","ATT","Senegal","Monaco"
"Ismaila Sarr","ATT","Senegal","Rennes"
"Diafra Sakho","ATT","Senegal","Rennes"
"Moussa Konate","ATT","Senegal","Amiens"
"Mame Biram Diouf","ATT","Senegal","Stoke"
"Mbaye Niang","ATT","Senegal","AC Milan"
